"Town","Area"
"Alameda, CA","Hayward, CA"
"Alhambra, CA","Los Angeles, CA"
"Anaheim, CA","Anaheim, CA"
"Antioch, CA","Fairfield, CA"
"Apple Valley, CA","Riverside, CA"
"Arden-Arcade, CA","Sacramento, CA"
"Bakersfield, CA","Bakersfield, CA"
"Baldwin Park, CA","Los Angeles, CA"
"Bellflower, CA","Long Beach, CA"
"Berkeley, CA","Oakland, CA"
"Brentwood, CA","Stockton, CA"
"Buena Park, CA","Anaheim, CA"
"Burbank, CA","Los Angeles, CA"
"California, CA","Ontario, CA"
"Camarillo, CA","Oxnard, CA"
"Carlsbad, CA","Carlsbad, CA"
"Carmichael, CA","Arden, CA"
"Carson, CA","Long Beach, CA"
"Castro Valley, CA","Hayward, CA"
"Chico, CA","Chico, CA"
"Chino Hills, CA","Anaheim, CA"
"Chino, CA","Anaheim, CA"
"Chula Vista, CA","San Diego, CA"
"Citrus Heights, CA","Roseville, CA"
"Clovis, CA","Fresno, CA"
"Compton, CA","Long Beach, CA"
"Concord, CA","Vallejo, CA"
"Corona, CA","Riverside, CA"
"Costa Mesa, CA","Anaheim, CA"
"Daly City, CA","San Francisco, CA"
"Davis, CA","Arcade, CA"
"Downey, CA","Los Angeles, CA"
"Dublin, CA","Hayward, CA"
"East Los Angeles, CA","Los Angeles, CA"
"Eastvale, CA","Riverside, CA"
"El Cajon, CA","San Diego, CA"
"El Monte, CA","Los Angeles, CA"
"Elk Grove, CA","Arcade, CA"
"Escondido, CA","Carlsbad, CA"
"Fairfield, CA","Bakersfield, CA"
"Fairfield, CA","Chico, CA"
"Fairfield, CA","El Centro, CA"
"Fairfield, CA","Fresno, CA"
"Fairfield, CA","Hanford, CA"
"Fairfield, CA","Corcoran, CA"
"Fairfield, CA","Los Angeles, CA"
"Fairfield, CA","Long Beach, CA"
"Fairfield, CA","Anaheim, CA"
"Fairfield, CA","Madera, CA"
"Fairfield, CA","Merced, CA"
"Fairfield, CA","Modesto, CA"
"Fairfield, CA","Napa, CA"
"Fairfield, CA","Oxnard, CA"
"Fairfield, CA","Thousand Oaks, CA"
"Fairfield, CA","Ventura, CA"
"Fairfield, CA","Redding, CA"
"Fairfield, CA","Riverside, CA"
"Fairfield, CA","San Bernardino, CA"
"Fairfield, CA","Ontario, CA"
"Fairfield, CA","Sacramento, CA"
"Fairfield, CA","Roseville, CA"
"Fairfield, CA","Arden, CA"
"Fairfield, CA","Arcade, CA"
"Fairfield, CA","Salinas, CA"
"Fairfield, CA","San Diego, CA"
"Fairfield, CA","Carlsbad, CA"
"Fairfield, CA","San Francisco, CA"
"Fairfield, CA","Oakland, CA"
"Fairfield, CA","Hayward, CA"
"Fairfield, CA","San Jose, CA"
"Fairfield, CA","Sunnyvale, CA"
"Fairfield, CA","Santa Clara, CA"
"Fairfield, CA","San Luis Obispo, CA"
"Fairfield, CA","Paso Robles, CA"
"Fairfield, CA","Arroyo Grande, CA"
"Fairfield, CA","Santa Cruz, CA"
